document_index,run_id,protocol_id,scenario_id,token_id,token,count
0,extended_run_001,prt_0000_00,scn_0000,2,diag_diagnostic_condition_profile__value_normal,1
0,extended_run_001,prt_0000_00,scn_0000,4,diag_diagnostic_control_load__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,7,diag_diagnostic_expected_error_probability__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,10,diag_diagnostic_operator_stress__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,13,diag_diagnostic_risk_class__value_low,1
0,extended_run_001,prt_0000_00,scn_0000,15,prior_alpha_ratio__level_high,1
0,extended_run_001,prt_0000_00,scn_0000,20,prior_attention_deficit__level_mid,1
0,extended_run_001,prt_0000_00,scn_0000,21,prior_coding_tool_type__value_codebook,1
0,extended_run_001,prt_0000_00,scn_0000,27,prior_condition_mean_adjusted_attention__level_mid,1
0,extended_run_001,prt_0000_00,scn_0000,29,prior_condition_noise_adjustment__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,32,prior_condition_noise_level__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,36,prior_condition_profile__value_normal,1
0,extended_run_001,prt_0000_00,scn_0000,38,prior_condition_time_pressure__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,41,prior_condition_total_adjusted_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,44,prior_control_expected_detection_rate__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,47,prior_control_intensity__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,50,prior_control_marker_ratio__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,53,prior_digit_ratio__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,56,prior_expected_error_probability__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,59,prior_manual_operation_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,62,prior_mean_complexity__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,65,prior_mean_message_criticality__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,68,prior_memory_load_index__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,71,prior_message_entropy_estimate__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,74,prior_message_length__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,77,prior_operator_attention__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,80,prior_operator_error_susceptibility__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,83,prior_operator_fatigue__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,86,prior_operator_skill__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,89,prior_operator_total_estimated_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,92,prior_procedure_branch_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,95,prior_procedure_steps__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,98,prior_repetition_expected_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,101,prior_symbol_group_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,104,prior_time_pressure_index__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,107,prior_total_nominal_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,109,prior_verification_required__absent,1
1,extended_run_001,prt_0001_00,scn_0001,2,diag_diagnostic_condition_profile__value_normal,1
1,extended_run_001,prt_0001_00,scn_0001,4,diag_diagnostic_control_load__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,7,diag_diagnostic_expected_error_probability__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,10,diag_diagnostic_operator_stress__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,13,diag_diagnostic_risk_class__value_low,1
1,extended_run_001,prt_0001_00,scn_0001,15,prior_alpha_ratio__level_high,1
