topic_id,token_id,token,document_frequency,weight
0,0,prior_condition_mean_adjusted_attention__level_high,2,0.0312490210658
0,1,prior_condition_mean_adjusted_attention__level_low,2,0.0312492146573
0,2,prior_condition_total_adjusted_time__level_high,2,0.0312513686952
0,3,prior_condition_total_adjusted_time__level_low,2,0.0312490210658
0,4,prior_control_marker_ratio__level_high,2,0.0312505408549
0,5,prior_control_marker_ratio__level_low,2,0.0312514434716
0,6,prior_digit_ratio__level_high,2,0.0312514434716
0,7,prior_digit_ratio__level_low,2,0.0312505408549
0,8,prior_mean_complexity__level_low,2,0.0312490210658
0,9,prior_mean_complexity__level_mid,2,0.0312504587654
0,10,prior_mean_message_criticality__level_high,2,0.0312514434716
0,11,prior_mean_message_criticality__level_low,2,0.0312505408549
0,12,prior_message_length__level_low,2,0.0312490210658
0,13,prior_message_length__level_mid,2,0.0312504587654
0,14,prior_operator_final_fatigue__level_high,2,0.0312492146573
0,15,prior_operator_final_fatigue__level_low,2,0.0312490210658
0,16,prior_operator_mean_attention__level_high,2,0.0312490210658
0,17,prior_operator_mean_attention__level_low,2,0.0312492146573
0,18,prior_operator_total_effort__level_high,2,0.0312492146573
0,19,prior_operator_total_effort__level_low,2,0.0312490210658
0,20,prior_operator_total_estimated_time__level_high,2,0.0312513686952
0,21,prior_operator_total_estimated_time__level_low,2,0.0312490210658
0,22,prior_reference_ratio__level_high,2,0.0312492146573
0,23,prior_reference_ratio__level_low,2,0.0312505408549
0,24,prior_service_ratio__level_high,2,0.0312505408549
0,25,prior_service_ratio__level_low,2,0.0312514434716
0,26,prior_step_count__level_low,2,0.0312490210658
0,27,prior_step_count__level_mid,2,0.0312504587654
0,28,prior_symbol_ratio__level_high,2,0.0312505408549
0,29,prior_symbol_ratio__level_low,2,0.0312492146573
0,30,prior_total_nominal_time__level_high,2,0.0312513686952
0,31,prior_total_nominal_time__level_low,2,0.0312490210658
1,0,prior_condition_mean_adjusted_attention__level_high,2,0.0312490210658
1,1,prior_condition_mean_adjusted_attention__level_low,2,0.0312492146573
1,2,prior_condition_total_adjusted_time__level_high,2,0.0312513686952
1,3,prior_condition_total_adjusted_time__level_low,2,0.0312490210658
1,4,prior_control_marker_ratio__level_high,2,0.0312505408549
1,5,prior_control_marker_ratio__level_low,2,0.0312514434716
1,6,prior_digit_ratio__level_high,2,0.0312514434716
1,7,prior_digit_ratio__level_low,2,0.0312505408549
1,8,prior_mean_complexity__level_low,2,0.0312490210658
1,9,prior_mean_complexity__level_mid,2,0.0312504587654
1,10,prior_mean_message_criticality__level_high,2,0.0312514434716
1,11,prior_mean_message_criticality__level_low,2,0.0312505408549
1,12,prior_message_length__level_low,2,0.0312490210658
1,13,prior_message_length__level_mid,2,0.0312504587654
1,14,prior_operator_final_fatigue__level_high,2,0.0312492146573
1,15,prior_operator_final_fatigue__level_low,2,0.0312490210658
1,16,prior_operator_mean_attention__level_high,2,0.0312490210658
1,17,prior_operator_mean_attention__level_low,2,0.0312492146573
1,18,prior_operator_total_effort__level_high,2,0.0312492146573
1,19,prior_operator_total_effort__level_low,2,0.0312490210658
1,20,prior_operator_total_estimated_time__level_high,2,0.0312513686952
1,21,prior_operator_total_estimated_time__level_low,2,0.0312490210658
1,22,prior_reference_ratio__level_high,2,0.0312492146573
1,23,prior_reference_ratio__level_low,2,0.0312505408549
1,24,prior_service_ratio__level_high,2,0.0312505408549
1,25,prior_service_ratio__level_low,2,0.0312514434716
1,26,prior_step_count__level_low,2,0.0312490210658
1,27,prior_step_count__level_mid,2,0.0312504587654
1,28,prior_symbol_ratio__level_high,2,0.0312505408549
1,29,prior_symbol_ratio__level_low,2,0.0312492146573
1,30,prior_total_nominal_time__level_high,2,0.0312513686952
1,31,prior_total_nominal_time__level_low,2,0.0312490210658
2,0,prior_condition_mean_adjusted_attention__level_high,2,0.0604458728383
2,1,prior_condition_mean_adjusted_attention__level_low,2,0.0054952202695
2,2,prior_condition_total_adjusted_time__level_high,2,0.00549528299728
2,3,prior_condition_total_adjusted_time__level_low,2,0.0604458728383
2,4,prior_control_marker_ratio__level_high,2,0.0329563820109
2,5,prior_control_marker_ratio__level_low,2,0.0329650082405
2,6,prior_digit_ratio__level_high,2,0.0329650082405
2,7,prior_digit_ratio__level_low,2,0.0329563820109
2,8,prior_mean_complexity__level_low,2,0.0604458728383
2,9,prior_mean_complexity__level_mid,2,0.00549525866038
2,10,prior_mean_message_criticality__level_high,2,0.0329650082405
2,11,prior_mean_message_criticality__level_low,2,0.0329563820109
2,12,prior_message_length__level_low,2,0.0604458728383
2,13,prior_message_length__level_mid,2,0.00549525866038
2,14,prior_operator_final_fatigue__level_high,2,0.0054952202695
2,15,prior_operator_final_fatigue__level_low,2,0.0604458728383
2,16,prior_operator_mean_attention__level_high,2,0.0604458728383
2,17,prior_operator_mean_attention__level_low,2,0.0054952202695
2,18,prior_operator_total_effort__level_high,2,0.0054952202695
2,19,prior_operator_total_effort__level_low,2,0.0604458728383
2,20,prior_operator_total_estimated_time__level_high,2,0.00549528299728
2,21,prior_operator_total_estimated_time__level_low,2,0.0604458728383
2,22,prior_reference_ratio__level_high,2,0.0054952202695
2,23,prior_reference_ratio__level_low,2,0.0329563820109
2,24,prior_service_ratio__level_high,2,0.0329563820109
2,25,prior_service_ratio__level_low,2,0.0329650082405
2,26,prior_step_count__level_low,2,0.0604458728383
2,27,prior_step_count__level_mid,2,0.00549525866038
2,28,prior_symbol_ratio__level_high,2,0.0329563820109
2,29,prior_symbol_ratio__level_low,2,0.0054952202695
2,30,prior_total_nominal_time__level_high,2,0.00549528299728
2,31,prior_total_nominal_time__level_low,2,0.0604458728383
3,0,prior_condition_mean_adjusted_attention__level_high,2,0.0108662356581
3,1,prior_condition_mean_adjusted_attention__level_low,2,0.0108662622194
3,2,prior_condition_total_adjusted_time__level_high,2,0.0652323046309
3,3,prior_condition_total_adjusted_time__level_low,2,0.0108662356581
3,4,prior_control_marker_ratio__level_high,2,0.0652221700943
3,5,prior_control_marker_ratio__level_low,2,0.0108665125254
3,6,prior_digit_ratio__level_high,2,0.0108665125254
3,7,prior_digit_ratio__level_low,2,0.0652221700943
3,8,prior_mean_complexity__level_low,2,0.0108662356581
3,9,prior_mean_complexity__level_mid,2,0.0652146951809
3,10,prior_mean_message_criticality__level_high,2,0.0108665125254
3,11,prior_mean_message_criticality__level_low,2,0.0652221700943
3,12,prior_message_length__level_low,2,0.0108662356581
3,13,prior_message_length__level_mid,2,0.0652146951809
3,14,prior_operator_final_fatigue__level_high,2,0.0108662622194
3,15,prior_operator_final_fatigue__level_low,2,0.0108662356581
3,16,prior_operator_mean_attention__level_high,2,0.0108662356581
3,17,prior_operator_mean_attention__level_low,2,0.0108662622194
3,18,prior_operator_total_effort__level_high,2,0.0108662622194
3,19,prior_operator_total_effort__level_low,2,0.0108662356581
3,20,prior_operator_total_estimated_time__level_high,2,0.0652323046309
3,21,prior_operator_total_estimated_time__level_low,2,0.0108662356581
3,22,prior_reference_ratio__level_high,2,0.0108662622194
3,23,prior_reference_ratio__level_low,2,0.0652221700943
3,24,prior_service_ratio__level_high,2,0.0652221700943
3,25,prior_service_ratio__level_low,2,0.0108665125254
