model_name,diagnostic_kind,document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,selected_k,doc_topic_prior,topic_word_prior,random_state,diagnostic_only,allowed_for_apriori_forecast
LDA_full,full,0,extended_run_001,prt_0000_00,scn_0000,0.00912053761465,0.00957684448244,0.981302617903,3,,,11,true,false
LDA_full,full,1,extended_run_001,prt_0001_00,scn_0001,0.00920428049918,0.00969386178425,0.981101857717,3,,,11,true,false
LDA_full,full,2,extended_run_001,prt_0002_00,scn_0002,0.00932901496269,0.00972095158408,0.980950033453,3,,,11,true,false
LDA_full,full,3,extended_run_001,prt_0003_00,scn_0003,0.00928644702322,0.00965125884884,0.981062294128,3,,,11,true,false
LDA_full,full,4,extended_run_001,prt_0004_00,scn_0004,0.0679857056913,0.0100620012056,0.921952293103,3,,,11,true,false
LDA_full,full,5,extended_run_001,prt_0005_00,scn_0005,0.100009171812,0.00960057114477,0.890390257043,3,,,11,true,false
LDA_full,full,6,extended_run_001,prt_0006_00,scn_0006,0.403250241668,0.00970960068517,0.587040157647,3,,,11,true,false
LDA_full,full,7,extended_run_001,prt_0007_00,scn_0007,0.00994040616124,0.0102558645841,0.979803729255,3,,,11,true,false
LDA_full,full,8,extended_run_001,prt_0008_00,scn_0008,0.00936869763898,0.00976185642345,0.980869445938,3,,,11,true,false
LDA_full,full,9,extended_run_001,prt_0009_00,scn_0009,0.00951763470555,0.00990584424646,0.980576521048,3,,,11,true,false
LDA_full,full,10,extended_run_001,prt_0010_00,scn_0010,0.00934077936889,0.00973487473795,0.980924345893,3,,,11,true,false
LDA_full,full,11,extended_run_001,prt_0011_00,scn_0011,0.0105907811858,0.00961013962229,0.979799079192,3,,,11,true,false
LDA_full,full,12,extended_run_001,prt_0012_00,scn_0012,0.452081543782,0.00966397634342,0.538254479875,3,,,11,true,false
LDA_full,full,13,extended_run_001,prt_0013_00,scn_0013,0.676972221213,0.00982761913567,0.313200159651,3,,,11,true,false
LDA_full,full,14,extended_run_001,prt_0014_00,scn_0014,0.352392582844,0.0103017023065,0.637305714849,3,,,11,true,false
LDA_full,full,15,extended_run_001,prt_0015_00,scn_0015,0.19964368105,0.0104719577113,0.789884361239,3,,,11,true,false
LDA_full,full,16,extended_run_001,prt_0016_00,scn_0016,0.0108182880578,0.01025040832,0.978931303622,3,,,11,true,false
LDA_full,full,17,extended_run_001,prt_0017_00,scn_0017,0.0126063804397,0.0104288049684,0.976964814592,3,,,11,true,false
LDA_full,full,18,extended_run_001,prt_0018_00,scn_0018,0.289280927656,0.0100485532452,0.700670519098,3,,,11,true,false
LDA_full,full,19,extended_run_001,prt_0019_00,scn_0019,0.746854544218,0.00981374234509,0.243331713437,3,,,11,true,false
LDA_full,full,20,extended_run_001,prt_0020_00,scn_0020,0.555277882346,0.00987680706917,0.434845310584,3,,,11,true,false
LDA_full,full,21,extended_run_001,prt_0021_00,scn_0021,0.287989588237,0.0108444471679,0.701165964595,3,,,11,true,false
LDA_full,full,22,extended_run_001,prt_0022_00,scn_0022,0.464081065735,0.0103872310559,0.52553170321,3,,,11,true,false
