document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,selected_k,doc_topic_prior,topic_word_prior,random_state
0,extended_run_001,prt_0000_00,scn_0000,0.00379111031577,0.00379001648041,0.00379081627182,0.00379002831344,0.00379020987683,0.778188080692,0.199063519674,0.00379621837512,8,,,11
1,extended_run_001,prt_0001_00,scn_0001,0.00379118606777,0.00379094275448,0.00379105318207,0.00379051503873,0.00379066781024,0.744896582059,0.232353060119,0.003795992969,8,,,11
2,extended_run_001,prt_0002_00,scn_0002,0.00379089682997,0.00379082970252,0.00379340472796,0.00379097685146,0.00379126708831,0.837044824471,0.140206537532,0.00379126279717,8,,,11
3,extended_run_001,prt_0003_00,scn_0003,0.0037909294483,0.00379052276481,0.00379725830694,0.00379081257896,0.00379113503682,0.97344949334,0.00379802297515,0.00379182554853,8,,,11
4,extended_run_001,prt_0004_00,scn_0004,0.00379169571734,0.00379309630259,0.00379585649928,0.00379899882218,0.0037935401761,0.973446774694,0.00379009599509,0.00378994179352,8,,,11
5,extended_run_001,prt_0005_00,scn_0005,0.00379064805089,0.00379201165375,0.00379232276965,0.119243023605,0.00379145398468,0.858001896408,0.0037936208834,0.0037950226442,8,,,11
6,extended_run_001,prt_0006_00,scn_0006,0.00379126021628,0.00379215060497,0.00379121976072,0.338506694306,0.00379109144991,0.638745241033,0.00379106409447,0.00379127853517,8,,,11
7,extended_run_001,prt_0007_00,scn_0007,0.00379227083183,0.00379351815267,0.00379161091957,0.00379225430826,0.00379119451996,0.641254066407,0.335991639274,0.00379344558673,8,,,11
8,extended_run_001,prt_0008_00,scn_0008,0.00379132158657,0.00379178270101,0.00379599056504,0.00379100453404,0.00379143872263,0.875545626501,0.101701706857,0.00379112853271,8,,,11
9,extended_run_001,prt_0009_00,scn_0009,0.00379278860618,0.00379216891124,0.00379255752539,0.00379112825313,0.00379127404251,0.818006569991,0.159240350623,0.00379316204748,8,,,11
10,extended_run_001,prt_0010_00,scn_0010,0.00379208498115,0.00379065997182,0.00379380332255,0.0037902361802,0.00379141274315,0.973460826124,0.00378849430046,0.00379248237696,8,,,11
11,extended_run_001,prt_0011_00,scn_0011,0.0037909046473,0.00379167739244,0.173266651623,0.0037910053857,0.00379086892844,0.80398265579,0.00378999315614,0.00379624307714,8,,,11
12,extended_run_001,prt_0012_00,scn_0012,0.00379064446077,0.00379148288187,0.00379616306795,0.39496928257,0.00379144504904,0.582276999479,0.00379164899726,0.00379233349386,8,,,11
13,extended_run_001,prt_0013_00,scn_0013,0.00379204782738,0.00379198796855,0.0037949707463,0.628824685577,0.00379218012284,0.34842029259,0.00379087247026,0.00379296269776,8,,,11
14,extended_run_001,prt_0014_00,scn_0014,0.00379308612766,0.00379427832473,0.436258611922,0.00379632576325,0.00379410659132,0.3822527864,0.162515930614,0.00379487425732,8,,,11
15,extended_run_001,prt_0015_00,scn_0015,0.00379124042662,0.00379176766644,0.00379383967789,0.0037930650401,0.00379171917075,0.25446659139,0.00379499317684,0.722776783451,8,,,11
16,extended_run_001,prt_0016_00,scn_0016,0.00379269882645,0.00379041577278,0.227120723366,0.00379271980786,0.00379276456023,0.438177315632,0.00379236031033,0.315741001724,8,,,11
17,extended_run_001,prt_0017_00,scn_0017,0.00379408704001,0.00378986817862,0.480935859525,0.00379277279925,0.00379267622,0.496306242066,0.00379234030784,0.00379615386349,8,,,11
18,extended_run_001,prt_0018_00,scn_0018,0.00379264424756,0.00379015601665,0.533143293255,0.00379252533158,0.00379214251571,0.444104296267,0.00379208512916,0.00379285723675,8,,,11
19,extended_run_001,prt_0019_00,scn_0019,0.00379295690493,0.00379191013257,0.00379713739497,0.706479256565,0.00379230068539,0.270764270558,0.0037901231653,0.00379204459338,8,,,11
20,extended_run_001,prt_0020_00,scn_0020,0.00379290736152,0.00379027673317,0.00379664373847,0.527263689904,0.00379276759442,0.449976779658,0.00379122565747,0.00379570935294,8,,,11
