model_name,diagnostic_kind,topic_id,token_id,token,document_frequency,weight
LDA_diag,diag,0,0,diag_diagnostic_condition_profile__value_hard,61,0.0109645365924
LDA_diag,diag,0,1,diag_diagnostic_condition_profile__value_moderate,47,0.0120103381534
LDA_diag,diag,0,2,diag_diagnostic_condition_profile__value_normal,42,0.000205148540445
LDA_diag,diag,0,3,diag_diagnostic_control_load__level_high,48,0.0275011404533
LDA_diag,diag,0,4,diag_diagnostic_control_load__level_low,52,0.000202114412456
LDA_diag,diag,0,5,diag_diagnostic_control_load__level_mid,50,0.00485263251638
LDA_diag,diag,0,6,diag_diagnostic_expected_error_probability__level_high,50,0.000203240275147
LDA_diag,diag,0,7,diag_diagnostic_expected_error_probability__level_low,50,0.00427936442631
LDA_diag,diag,0,8,diag_diagnostic_expected_error_probability__level_mid,50,0.0199629112819
LDA_diag,diag,0,9,diag_diagnostic_operator_stress__level_high,31,0.000210815132684
LDA_diag,diag,0,10,diag_diagnostic_operator_stress__level_low,68,0.0135131197536
LDA_diag,diag,0,11,diag_diagnostic_operator_stress__level_mid,51,0.0113735680656
LDA_diag,diag,0,12,diag_diagnostic_risk_class__value_high,67,0.000237154891832
LDA_diag,diag,0,13,diag_diagnostic_risk_class__value_low,18,0.000203042400711
LDA_diag,diag,0,14,diag_diagnostic_risk_class__value_mid,65,0.0198380576081
LDA_diag,diag,0,15,prior_alpha_ratio__level_high,50,0.0109233751442
LDA_diag,diag,0,16,prior_alpha_ratio__level_low,50,0.0117452237589
LDA_diag,diag,0,17,prior_alpha_ratio__level_mid,50,0.00478370431627
LDA_diag,diag,0,18,prior_attention_deficit__level_high,49,0.000197117840582
LDA_diag,diag,0,19,prior_attention_deficit__level_low,51,0.0237256173292
LDA_diag,diag,0,20,prior_attention_deficit__level_mid,50,0.0115944847261
LDA_diag,diag,0,21,prior_coding_tool_type__value_codebook,46,0.000194556991177
LDA_diag,diag,0,22,prior_coding_tool_type__value_mixed,35,0.0200914556421
LDA_diag,diag,0,23,prior_coding_tool_type__value_mnemonic,23,0.00765310004911
LDA_diag,diag,0,24,prior_coding_tool_type__value_table,46,0.00489710460674
LDA_diag,diag,0,25,prior_condition_mean_adjusted_attention__level_high,44,0.0252123101897
LDA_diag,diag,0,26,prior_condition_mean_adjusted_attention__level_low,58,0.000201232443513
LDA_diag,diag,0,27,prior_condition_mean_adjusted_attention__level_mid,48,0.00895622037345
LDA_diag,diag,0,28,prior_condition_noise_adjustment__level_high,33,0.000239963420612
LDA_diag,diag,0,29,prior_condition_noise_adjustment__level_low,84,0.0162922441248
LDA_diag,diag,0,30,prior_condition_noise_adjustment__level_mid,33,0.00562594514394
LDA_diag,diag,0,31,prior_condition_noise_level__level_high,33,0.000239963420612
LDA_diag,diag,0,32,prior_condition_noise_level__level_low,84,0.0162922441248
LDA_diag,diag,0,33,prior_condition_noise_level__level_mid,33,0.00562594514394
LDA_diag,diag,0,34,prior_condition_profile__value_hard,61,0.0109645365924
LDA_diag,diag,0,35,prior_condition_profile__value_moderate,47,0.0120103381534
LDA_diag,diag,0,36,prior_condition_profile__value_normal,42,0.000205148540445
LDA_diag,diag,0,37,prior_condition_time_pressure__level_high,33,0.00881083276113
LDA_diag,diag,0,38,prior_condition_time_pressure__level_low,78,0.00931789257712
LDA_diag,diag,0,39,prior_condition_time_pressure__level_mid,39,0.00447576498451
LDA_diag,diag,0,40,prior_condition_total_adjusted_time__level_high,50,0.0170586673118
LDA_diag,diag,0,41,prior_condition_total_adjusted_time__level_low,50,0.000214366393883
LDA_diag,diag,0,42,prior_condition_total_adjusted_time__level_mid,50,0.0081597007717
LDA_diag,diag,0,43,prior_control_expected_detection_rate__level_high,50,0.028636580169
